char,dialogue,episode
LUKE,You know of the Rebellion against the Empire?,episode4
THREEPIO,"That's how we came to be in your service, if you take my meaning, sir.",episode4
LUKE,Have you been in many battles?,episode4
THREEPIO,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways.",episode4
LUKE,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or...",episode4
LEIA,"Help me, Obi-Wan Kenobi.  You'remy only hope.",episode4
LUKE,What's this?,episode4
THREEPIO,What is what?!?  He asked you a question...What is that?,episode4
LEIA,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope.",episode4
THREEPIO,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind.",episode4
LUKE,Who is she?  She's beautiful.,episode4
THREEPIO,"I'm afraid I'm not quite sure, sir.",episode4
LEIA,"Help me, Obi-Wan Kenobi...",episode4
THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to...",episode4
LUKE,Is there more to this recording?,episode4
THREEPIO,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master.",episode4
THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric.",episode4
LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?,episode4
THREEPIO,"I beg your pardon, sir, but do you know what he's talking about?",episode4
LUKE,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit.",episode4
LUKE,I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.,episode4
THREEPIO,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording.",episode4
LUKE,"H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay.",episode4
LUKE,There you go.,episode4
LUKE,"Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message.",episode4
THREEPIO,been playing.  The one you're carrying inside your rusty innards! ,episode4
AUNT BERU,Luke?  Luke!  Come to dinner!,episode4
LUKE,"All right, I'll be right there, Aunt Beru.",episode4
THREEPIO,"I'm sorry, sir, but he appears to have picked up a slight flutter.",episode4
LUKE,"Well, see what you can do with him.  I'll be right back.",episode4
THREEPIO,Just you reconsider playing that message for him.,episode4
THREEPIO,"No, I don't think he likes you at all.",episode4
THREEPIO,"No, I don't like you either.",episode4
LUKE,"You know, I think that R2 unit we bought might have been stolen.",episode4
OWEN,What makes you think that?,episode4
LUKE,"Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi.",episode4
LUKE,"I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben.",episode4
OWEN,That old man's just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  That'll be the end of it.  It belongs to us now.,episode4
LUKE,But what if this Obi-Wan comes looking for him?,episode4
OWEN,"He won't, I don't think he exists any more.  He died about the same time as your father.",episode4
LUKE,He knew my father?,episode4
OWEN,I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.,episode4
LUKE,"Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year.",episode4
OWEN,You mean the next semester before harvest?,episode4
LUKE,"Sure, there're more than enough droids.",episode4
OWEN,Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year.,episode4
OWEN,"You must understand I need you here, Luke.",episode4
LUKE,But it's a whole 'nother year.,episode4
OWEN,"Look, it's only one more season.",episode4
LUKE,"Yeah, that's what you said last year when Biggs and Tank left.",episode4
AUNT BERU,Where are you going?,episode4
LUKE,It looks like I'm going nowhere.  I have to finish cleaning those droids.,episode4
AUNT BERU,"Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him.",episode4
OWEN,I'll make it up to him next year.  I promise.,episode4
AUNT BERU,"Luke's just not a farmer, Owen.  He has too much of his father in him.",episode4
OWEN,That's what I'm afraid of.,episode4
LUKE,What are you doing hiding there?,episode4
THREEPIO,"It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission.",episode4
LUKE,"Oh, no!",episode4
THREEPIO,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times. ,episode4
LUKE,How could I be so stupid?  He's nowhere in sight.  Blast it!,episode4
THREEPIO,"Pardon me, sir, but couldn't we go after him?",episode4
LUKE,It's too dangerous with all the Sand People around.  We'll have to wait until morning.,episode4
OWEN,"Luke, I'm shutting the power down for the night.",episode4
LUKE,"All right, I'll be there in a few minutes.  Boy, am I gonna get it.",episode4
LUKE,You know that little droid is going to cause me a lot of trouble.,episode4
THREEPIO,"Oh, he excels at that, sir.",episode4
OWEN,Luke?  Luke?  Luke?  Where could he be loafing now!,episode4
OWEN,Have you seen Luke this morning?,episode4
AUNT BERU,"He said he had some things to do before he started today, so he left early.",episode4
OWEN,Uh?  Did he take those two new droids with him?,episode4
AUNT BERU,I think so.,episode4
OWEN,"Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!",episode4
LUKE,How's that.,episode4
LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well.",episode4
THREEPIO,"Sir, would it help if you told him it was my fault.",episode4
LUKE,Sure.  He needs you.  He'd probably only deactivate you for a day or so...,episode4
THREEPIO,"Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt...",episode4
LUKE,"Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator.",episode4
LUKE,"Hey, whoa, just where do you think you're going?",episode4
THREEPIO,"Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here.",episode4
LUKE,"Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up.",episode4
THREEPIO,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop.",episode4
LUKE,"No, he's not going to try anything.",episode4
LUKE,What's wrong with him now?,episode4
THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast.",episode4
LUKE,"Sand People!  Or worse!  Come on, let's have a look.  Come on.",episode4
LUKE,"There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now.",episode4
BEN,Hello there!  Come here my little friend.  Don't be afraid.,episode4
BEN,"Don't worry, he'll be all right.",episode4
LUKE,What happened?,episode4
BEN,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece.",episode4
LUKE,"Ben?  Ben Kenobi!  Boy, am I glad to see you! ",episode4
BEN,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?",episode4
LUKE,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?",episode4
BEN,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.,episode4
LUKE,I think my uncle knew him.  He said he was dead.,episode4
BEN,"Oh, he's not dead, no... not yet.",episode4
LUKE,You know him!,episode4
BEN,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born.",episode4
LUKE,Then the droid does belong to you.,episode4
BEN,Don't seem to remember ever owning a droid.  Very interesting... ,episode4
BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.,episode4
LUKE,... Threepio!,episode4
THREEPIO,Where am I?  I must have taken a bad step...,episode4
LUKE,Can you stand?  We've got to get out of here before the Sand People return.,episode4
THREEPIO,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for.",episode4
LUKE,"No, you're not.  What kind of talk is that?",episode4
BEN,"Quickly, son... they're on the move.",episode4
LUKE,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter.",episode4
BEN,That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.,episode4
LUKE,You fought in the Clone Wars?,episode4
BEN,"Yes, I was once a Jedi Knight the same as your father.",episode4
LUKE,I wish I'd known him.,episode4
BEN,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me...",episode4
BEN,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. ",episode4
THREEPIO,"Sir, if you'll not be needing me, I'll close down for awhile.",episode4
LUKE,"Sure, go ahead.",episode4
LUKE,What is it?,episode4
BEN,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.,episode4
BEN,"An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire.",episode4
LUKE,How did my father die?,episode4
BEN,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force.",episode4
LUKE,The Force?,episode4
BEN,"Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together.",episode4
BEN,"Now, let's see if we can't figure out what you are, my little friend.  And where you come from.",episode4
LUKE,I saw part of the message he was...,episode4
BEN,I seem to have found it.,episode4
LEIA,"General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope.",episode4
BEN,You must learn the ways of the Force if you're to come with me to Alderaan.,episode4
LUKE,"Alderaan?  I'm not going to Alderaan.  I've got to go home.  It's late, I'm in for it as it is.",episode4
BEN,"I need your help, Luke.  I'm getting too old for this sort of thing.She needs your help.",episode4
LUKE,I can't get involved!  I've got work to do!  It's not that I like the Empire.  I hate it!  But there's nothing I can do about it right now.  It's such a long way from here.,episode4
BEN,That's your uncle talking.,episode4
LUKE,"Oh, God, my uncle.  How am I ever going to explain this?",episode4
BEN,"Learn about the Force, Luke.",episode4
LUKE,"Look, I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever you're going.",episode4
BEN,"You must do what you feel is right, of course.",episode4
TAGGE,Until this battle station is fully operational we are vulnerable.  The Rebel Alliance is too well equipped.  They're more dangerous than you realize.,episode4
MOTTI,"Dangerous to your starfleet, Commander; not to this battle station!",episode4
TAGGE,The Rebellion will continue to gain support in the Imperial Senate as long as....,episode4
TARKIN,The Imperial Senate will no longer be of any concern to us.  I've just received word that the Emperor has dissolved the council permanently.  The last remnants of the Old Republic have been swept away.,episode4
TAGGE,That's impossible!  How will the Emperor maintain control without the bureaucracy?,episode4
TARKIN,The regional governors now have direct control over territories.  Fear will keep the local systems in line.  Fear of this battle station.,episode4
TAGGE,"And what of the Rebellion?  If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it.",episode4
VADER,The plans you refer to will soon be back in our hands.,episode4
MOTTI,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained.  This station is now the ultimate power in the universe.  I suggest we use it!",episode4
VADER,Don't be too proud of this technological terror you've constructed.  The ability to destroy a planet is insignificant next to the power of the Force.,episode4
MOTTI,"Don't try to frighten us with your sorcerer's ways, Lord Vader.  Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort...",episode4
VADER,I find your lack of faith disturbing.,episode4
TARKIN,"Enough of this!  Vader, release him!",episode4
VADER,As you wish.,episode4
TARKIN,This bickering is pointless.  Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational.  We will then crush the Rebellion with one swift stroke.,episode4
LUKE,"It looks like Sand People did this, all right.  Look, here are gaffi sticks, bantha tracks.  It's just... I never heard of them hitting anything this big before.",episode4
BEN,They didn't.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers.,episode4
LUKE,These are the same Jawas that sold us Artoo and Threepio.,episode4
BEN,"And these blast points, too accurate for Sand People.  Only Imperial stormtroopers are so precise.",episode4
LUKE,Why would Imperial troops want to slaughter Jawas?,episode4
LUKE,"If they traced the robots here, they may have learned who they sold them to.  And that would lead them back home!",episode4
BEN,"Wait, Luke!  It's too dangerous.",episode4
LUKE,Uncle Owen!  Aunt Beru!  Uncle Owen!,episode4
VADER,"And, now Your Highness, we will discuss the location of your hidden Rebel base.",episode4
BEN,"There's nothing you could have done, Luke, had you been there.  You'd have been killed, too, and the droids would now be in the hands of the Empire.",episode4
LUKE,I want to come with you to Alderaan.  There's nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.,episode4
BEN,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.,episode4
TROOPER,How long have you had these droids?,episode4
LUKE,About three or four seasons.,episode4
BEN,They're for sale if you want them.,episode4
TROOPER,Let me see your identification.,episode4
BEN,You don't need to see his identification.,episode4
TROOPER,We don't need to see his identification.,episode4
BEN,looking for.,episode4
TROOPER,These are not the droids we're looking for.,episode4
BEN,He can go about his business.,episode4
TROOPER,You can go about your business.,episode4
BEN,Move along.,episode4
TROOPER,Move along.  Move along.,episode4
THREEPIO,I can't abide these Jawas.  Disgusting creatures.,episode4
LUKE,"Go on, go on.  I can't understand how we got by those troopers.  I thought we were dead.",episode4
BEN,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.,episode4
LUKE,Do you really think we're going to find a pilot here that'll take us to Alderaan?,episode4
BEN,"Well, most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough.",episode4
LUKE,I'm ready for anything.,episode4
THREEPIO,"Come along, Artoo.",episode4
BARTENDER,We don't serve their kind here!,episode4
LUKE,What?,episode4
BARTENDER,Your droids. They'll have to wait outside.  We don't want them here.,episode4
LUKE,"Listen, why don't you wait out by the speeder.  We don't want any trouble.",episode4
THREEPIO,I heartily agree with you sir.,episode4
CREATURE,Negola dewaghi wooldugger?!?,episode4
HUMAN,He doesn't like you.,episode4
LUKE,I'm sorry.,episode4
HUMAN,I don't like you either,episode4
HUMAN,Don't insult us.  You just watch yourself.  We're wanted men.  I have the death sentence on twelve systems.,episode4
LUKE,I'll be careful than.,episode4
HUMAN,You'll be dead.,episode4
BEN,This little one isn't worth the effort.  Come let me buy you something...,episode4
BARTENDER,No blasters!  No blaster!,episode4
BEN,This is Chewbacca.  He's first-mate on a ship that might suit our needs.,episode4
THREEPIO,I don't like the look of this.,episode4
HAN,Han Solo.  I'm captain of the Millennium Falcon.  Chewie here tells me you're looking for passage to the Alderaan system.,episode4
BEN,"Yes, indeed.  If it's a fast ship.",episode4
HAN,Fast ship?  You've never heard of the Millennium Falcon?,episode4
BEN,Should I have?,episode4
HAN,It's the ship that made the Kessel run in less than twelve parsecs!,episode4
HAN,"I've outrun Imperial starships, not the local bulk-cruisers, mind you.  I'm talking about the big Corellian ships now.  She's fast enough for you, old man.  What's the cargo?",episode4
BEN,"Only passengers.  Myself, the boy, two droids, and no questions asked.",episode4
HAN,What is it?  Some kind of local trouble?,episode4
BEN,Let's just say we'd like to avoid any Imperial entanglements.,episode4
HAN,"Well, that's the real trick, isn't it?  And it's going to cost you something extra.  Ten thousand in advance.",episode4
LUKE,Ten thousand?  We could almost buy our own ship for that!,episode4
HAN,"But who's going to fly it, kid!  You?",episode4
LUKE,You bet I could.  I'm not such a bad pilot myself!  We don't have to sit here and listen...,episode4
BEN,"We haven't that much with us.  But we could pay you two thousand now, plus fifteen when we reach Alderaan.",episode4
HAN,"Seventeen, huh!",episode4
HAN,Okay.  You guys got yourself a ship.  We'll leave as soon as you're ready.  Docking bay Ninety-four.,episode4
BEN,Ninety-four.,episode4
HAN,Looks like somebody's beginning to take an interest in your handiwork.,episode4
TROOPER,"All right, we'll check it out.",episode4
HAN,Seventeen thousand!  Those guys must really be desperate.  This could really save my neck.  Get back to the ship and get her ready.,episode4
BEN,You'll have to sell your speeder.,episode4
LUKE,That's okay.  I'm never coming back to this planet again.,episode4
GREEDO,"Going somewhere, Solo?",episode4
HAN,"Yes, Greedo.  As a matter of fact, I was just going to see your boss.  Tell Jabba that I've got his money.",episode4
GREEDO,"It's too late.  You should have paid him when you had the chance.  Jabba's put a price on your head, so large that every bounty hunter in the galaxy will be looking for you.  I'm lucky I found you first.",episode4
HAN,"Yeah, but this time I got the money.",episode4
GREEDO,"If you give it to me, I might forget I found you.",episode4
HAN,I don't have it with me.  Tell Jabba...,episode4
